show_uri	show_name	show_description	publisher	language	rss_link	episode_uri	episode_name	episode_description	duration	show_filename_prefix	episode_filename_prefix
spotify:show:2NYtxEZyYelR6RMKmjfPLB	Kream in your Koffee	A 20-something blunt female takes on the world and gives you her take on it. Enjoy visits from special guests and friends to give insight and input into interesting situations.	Katie Houle	['en']	https://anchor.fm/s/11b84b68/podcast/rss	spotify:episode:000A9sRBYdVh66csG2qEdj	1: It’s Christmas Time!	On the first ever episode of Kream in your Koffee, Katie talks about tips for Christmas shopping. We also get a little insight into who and what we’ll be hearing about in next weeks episode! 	12.700133333333333	show_2NYtxEZyYelR6RMKmjfPLB	000A9sRBYdVh66csG2qEdj
spotify:show:15iWCbU7QoO23EndPEO6aN	Morning Cup Of Murder	Ever wonder what murder took place on today in true crime history? If so, sit back and grab a cup of coffee as you enjoy your daily dose of TC goodness. Your host, Korina Biemesderfer, guides you through history with tales of murder, abduction, serial killers, crimes of passion, cults and more in this short form daily true crime podcast. Support this podcast: https://anchor.fm/morning-cup-of-murder/support	Morning Cup Of Murder	['en']	https://anchor.fm/s/b07181c/podcast/rss	spotify:episode:000HP8n3hNIfglT2wSI2cA	The Goleta Postal Facility shootings- January 30 2020 - Today in True Crime History	See something, say something. It’s a mantra many live by. If you see something strange, call it in or make someone aware, even if it seems innocuous. Jennifer San Marco had strange behaviors. It was clear to many that the woman suffered from mental illness that was being untreated. But, many wrote it off. And, on January 30th 2006 her strange behaviors bubbled over and the Goleta Postal Facility shootings began. Jennifer San Marco Kills (2006) Become a supporter of this podcast on Patreon: https://www.patreon.com/morningcupofmurder Follow Morning Cup of Murder on Twitter: https://twitter.com/cupofmurder @cupofmurder Follow MCOM on Instagram: @morningcupofmurder Have a Murder or strange true crime story you want to share, email the show here: morningcupofmurder@gmail.com Morning Cup of Murder is researched, written and performed by Korina Biemesderfer. Follow Korina on Instagram: @kbiemesderfer  ---   Send in a voice message: https://anchor.fm/morning-cup-of-murder/message Support this podcast: https://anchor.fm/morning-cup-of-murder/support	6.019383333333334	show_15iWCbU7QoO23EndPEO6aN	000HP8n3hNIfglT2wSI2cA
spotify:show:6vZRgUFTYwbAA79UNCADr4	Inside The 18 : A Podcast for Goalkeepers by Goalkeepers	Inside the 18 is your source for all things Goalkeeping! Each week we are joined by guests from around the world. We recap the weeks events, discuss new training techniques and have candid conversations with professional goalkeepers and goalkeeper coaches. The show is a must listen for the goalkeeping enthusiast!    #insidethe18 #goalkeeperpodcast #thegoalkeepers #goalkicks #ederson #NWSL #ashlynharris #UWSNT #MLS #USMNT #goalkeepercoaches #degea #neuer #navas #areola #oblak #USL #goalkeepersaves #courtois #technefutbol #gkunion #gk #progk #goalkeepertraining #soccer #futbol #messi #ronaldo	Inside the 18 GK Media	['en']	https://anchor.fm/s/81a072c/podcast/rss	spotify:episode:001UfOruzkA3Bn1SPjcdfa	Ep.36 - Incorporating a Singular Goalkeeping Curriculum in the United States w/ guest Phil Wheddon	Today’s episode is a sit down Michael and Omar had with former USMNT and former USWNT goalkeeper coach, Phil Wheddon. Phil discusses how he started the International Goalkeeper Coaches Conference (IGCC), what the US needs to do in order to create a successful goalkeeping curriculum across the United States and lastly, he gives his best advice to young goalkeepers and goalkeeper coaches.  Make sure to Subscribe to Inside the 18 on both Apple Podcasts and Spotify and don’t forget to leave us a rating and a comment to let us know how we’re doing!  Contact Information: @la_goalkeeping_academy @progkacademy_ @aviatasports @philwheddon 	43.61633333333333	show_6vZRgUFTYwbAA79UNCADr4	001UfOruzkA3Bn1SPjcdfa
spotify:show:5BvKEjaMSuvUsGROGi2S7s	Arrowhead Live!	Your favorite podcast for everything @Chiefs! Providing #ChiefsKingdom with up to the minute news & insight all day, everyday with @KC_Winn & @grant_morse7🎙	Arrowhead Live!	['en-US']	https://anchor.fm/s/917dba4/podcast/rss	spotify:episode:001i89SvIQgDuuyC53hfBm	Episode 1: Arrowhead Live! Debut	Join us as we take a look at all current Chiefs news, including the draft, free agency, in-house contract talks, and much more!  ---   This episode is sponsored by  · Anchor: The easiest way to make a podcast.  https://anchor.fm/app 	58.1892	show_5BvKEjaMSuvUsGROGi2S7s	001i89SvIQgDuuyC53hfBm
spotify:show:7w3h3umpH74veEJcbE6xf4	FBoL 	The comedy podcast about toxic characters, writers, and tropes of literature, folklore, myths, and legend.   Join host Emily Edwards to discuss feminist literature, toxic masculinity, gender roles, and intersectional representation in books. These are the Fuckbois of Literature. Support this podcast: https://anchor.fm/fuckboisoflit/support	Emily Edwards	['en']	https://www.fuckboisoflit.com/episodes?format=rss	spotify:episode:0025RWNwe2lnp6HcnfzwzG	The Lion, The Witch, And The Wardrobe - Ashley Beall 	The modern morality tail of how to stay good for Christmas. Ashley Beall of Make It Modern Podcast (@MIM_Podcast) joins me to discuss the redemption arcs of one of KidLit's biggest fuckbois, Edmund Pevensie.  iTunes Spotify YouTube Stitcher Google Play Music Anchor Do you want to work with us? Email us!  ---   This episode is sponsored by  · Anchor: The easiest way to make a podcast.  https://anchor.fm/app  Support this podcast: https://anchor.fm/fuckboisoflit/support	51.78205	show_7w3h3umpH74veEJcbE6xf4	0025RWNwe2lnp6HcnfzwzG
spotify:show:5ljREb8VLogQLT7AKGwav1	UPSC Podcasts	Podcasts useful for UPSC aspirants! Mainly discussion aired on Rajya Sabha TV and All India Radio. Subscribe now!	UPSC Podcast	['en']	https://anchor.fm/s/8afceec/podcast/rss	spotify:episode:0025w0gdgkl11Nzkmg1wnm	Tourism in India : Opportunities and Challenges	. 	13.788	show_5ljREb8VLogQLT7AKGwav1	0025w0gdgkl11Nzkmg1wnm
spotify:show:3VHIM25lUuRw3kZktdTbFY	The Feminization Boudoir	Enter the world of dominant women and submissive sissies in these exciting stories of sissification and humiliation written by Kylie Gable and performed by a host of sexy and talented readers. Support this podcast: https://anchor.fm/kylie-gable/support	Kylie Gable	['en']	https://anchor.fm/s/b28796c/podcast/rss	spotify:episode:002NDlaaJN4vUczXHDHqWZ	The Sissy's Mentor (Part 5)	Miss Jenn Davis reads the final part of The Sissy's Mentor.  It's the story of a young inexperienced college freshman and the dominant woman who takes him under her wing or is that wig?   You can find a lot more great erotic content from Jenn at MissJennDavis.com. Remember that this podcast plays clips (Usually 40%-50%) from audios.  At least half the show is missing and in that half are the very sexiest parts. Please support Candy Apple Press at our clipsites: IWantClips Clips4Sale and buy our books: Amazon.com You can also donate to the Podcast directly at Anchor.fm.  Wherever you listen, please give us good feedback. Thanks, Kylie  ---   This episode is sponsored by  · Anchor: The easiest way to make a podcast.  https://anchor.fm/app  Support this podcast: https://anchor.fm/kylie-gable/support	30.5892	show_3VHIM25lUuRw3kZktdTbFY	002NDlaaJN4vUczXHDHqWZ
spotify:show:6fqU8lOAcqQKOxesKOLqRh	Chastity and The City	We are four, 30 somethings living in a city showing what it means to live Chastity, Friendship and the Catholic Faith. 	Chastity	['en']	https://anchor.fm/s/fa62700/podcast/rss	spotify:episode:002SVJwVLa487RmcijXJ42	Our Journey with Chastity	In today's episode of Chasity and the City we talk about our Journey with Chasity. How we live the virtue of Chasity now and misconceptions we had about Chastity before we educated ourselves. We share some real talk and relatable stories about our journey to living chastely.    	39.437133333333335	show_6fqU8lOAcqQKOxesKOLqRh	002SVJwVLa487RmcijXJ42
spotify:show:0g0gZz74AKcS1MpJJ1T01N	They Had to Go Out	Get ready to whiten those knuckles and hold fast as we get underway to talk with Coast Guard veterans about the most daring, dangerous, and epic sea stories ever told. Whether facing ruthless men who prey on other mariners or storms that turn calm seas into graveyards, those who go down to the sea and cast off lines enter the most challenging and dangerous environment on earth. Only here will you hear their stories and the lessons gained through their experience.  Support this podcast: https://anchor.fm/theyhadtogoout/support	They Had to Go Out	['en']	https://anchor.fm/s/7f6f0c0/podcast/rss	spotify:episode:002UpWk6zCgvHSAzmvohRG	Episode 50: Dan Shirey - BM - Surfman - 44 MLB - Chetco River - CGC Modoc - Diver	Former Boatswain’s Mate Dan Shirey talks pitchpoling a 44 ft Motor Lifeboat on the Chetco River bar, responding to a sinking fishing vessel despite knowing he lacked enough fuel to make it back to shore, escorting a listing cargo ship hundreds of miles to reach a safe port, qualifying as a diver, using the skills gained through his service to pursue underwater treasure hunting, and diving on the wrecks of the same whaling ships that were the cause of the 1897 Overland Relief Expedition where some of the earliest Coast Guard heroes earned their fame.  ---   This episode is sponsored by  · Anchor: The easiest way to make a podcast.  https://anchor.fm/app  Support this podcast: https://anchor.fm/theyhadtogoout/support	58.46978333333333	show_0g0gZz74AKcS1MpJJ1T01N	002UpWk6zCgvHSAzmvohRG
spotify:show:1dyTrS3vDtpClrURfKdo3q	The Good Sign 	Let’s be real and honest! Life can be challenging and stressful! I am a mom, a teacher, a life coach and a motivational speaker. Meeting so many people from so many places has made me realize that we are all on a similar quest for happiness and inspiration. This podcast will be uplifting, honest and damn funny! Join me each Monday night as me and my guests impart attainable goals and strategies that will uplift you and make you smile. 	Donna Simantov	['en']	https://anchor.fm/s/fef17a8/podcast/rss	spotify:episode:003EmVD7eAmRTBSwHXqi1W	Talia and me part 2! 	Join us as we learn the tricks and tips of staying positive and upbeat despite life’s challenges!   ---   This episode is sponsored by  · Anchor: The easiest way to make a podcast.  https://anchor.fm/app 	31.074483333333333	show_1dyTrS3vDtpClrURfKdo3q	003EmVD7eAmRTBSwHXqi1W
